"X","created_at","text","user_id","user_follower_count","sentiment_score","sentiment","group"
101898,2021-10-29 18:57:21,"With $36 billion boost to net worth in a day, Elon Musk is now worth more than Pakistan GDP https://t.co/tVs69UAz2q via @ThePrintIndia",208911657,770,1.25,"positive","200-1000"
101913,2021-10-29 18:57:22,"A follow up from my first post on un reported world about the mining of COBOLT, used in EV. Chinese owned mines across the Congo. Rivers polluted by industrial mining of Cobalt, no food can grow. No fish  in rivers. @Tesla mean time, valued at $1 trillion, Elon Musk talks of Mars",1281042793,1949,0.2,"positive","1000-10000"
102148,2021-10-29 18:57:48,"@elonmusk Alabama have kids",1207653539989745664,28,0,"neutral","0-50"
102344,2021-10-29 18:58:06,"@elonmusk Earth has #SHIP",245683406,271,0,"neutral","200-1000"
102759,2021-10-29 18:58:56,"@elonmusk He said tits https://t.co/Ef61dxrrxX",1454120235536105472,0,0,"neutral","No follower"
102779,2021-10-29 18:58:58,"@elonmusk Pay your taxes too :)",1343216892589309952,46,-0.1,"negative","0-50"
102862,2021-10-29 18:59:09,"@radium84 @Nedsfeed @elonmusk He's a Christian? Lmao somebody that clever doesn't believe in fairytales",1405585335032205312,11,0.75,"positive","0-50"
102938,2021-10-29 18:59:20,"@elonmusk Shiba Coin's High Will Be",1382392098435911680,2,0,"neutral","0-50"
102963,2021-10-29 18:59:23,"35 million Americans are hungry today but this gold-shitter has another hilarious boob tweet: https://t.co/kpbQPymdDp",52644968,5255,0.5,"positive","1000-10000"
103086,2021-10-29 18:59:41,"@davidgokhshtein @elonmusk Just buy @CumRocketCrypto",273732953,825,0,"neutral","200-1000"
103151,2021-10-29 18:59:51,"@elonmusk You will need two to make a pair",3386020457,249,0,"neutral","200-1000"
103265,2021-10-29 19:00:08,"@DamianProsa @elonmusk My dude.this tweet is gold and people don't even know it.",1244380157923807232,135,0.5,"positive","50-200"
103559,2021-10-29 19:00:42,"@elonmusk Jokes on you

India already has a TITS",978337548249587712,0,0.6,"positive","No follower"
103734,2021-10-29 19:01:06,"Amazing to see success stories such as this traders #investment in #Tesla, incredible returns!
-
https://t.co/baUl8wkEL9
-
#etoro @eToro $TSLA #ev #ElectricVehicles #investing #invest  #StockMarket #trading

https://t.co/vwGJIayaWx",1238757750215147520,393,1.75,"positive","200-1000"
103787,2021-10-29 19:01:11,"@Nedsfeed @Tenergydrink @elonmusk The fuck Christianity has to do with this <U+0001F602>??",1322202649954029568,8,-1,"negative","0-50"
103856,2021-10-29 19:01:21,"@elonmusk Everything's bigger in Texas",1441434167854526464,1,0,"neutral","0-50"
103882,2021-10-29 19:01:23,"@elonmusk We know. <U+0001F609>",131750917,2059,0,"neutral","1000-10000"
103948,2021-10-29 19:01:32,"@CordovaTrades @elonmusk and you have some very nice T*ts",2914599333,28,0.5,"positive","0-50"
103966,2021-10-29 19:01:34,"He and other billionaires can also afford to spend millions to avoid paying billions and they do that'll never change.",1042198078445547520,625,0,"neutral","200-1000"
104160,2021-10-29 19:02:01,"@elonmusk 1 on the liste",245023122,14,0,"neutral","0-50"
104342,2021-10-29 19:02:29,"@EetemadX @elonmusk How much #shiba are you holding",1325012184397565952,3,0,"neutral","0-50"
104351,2021-10-29 19:02:31,"Good project",1256206672319700992,191,0.75,"positive","50-200"
104364,2021-10-29 19:02:33,"@elonmusk https://t.co/NqUjEiWGxm TEXASTITS TOKEN",1368569187690573824,10,0,"neutral","0-50"
104388,2021-10-29 19:02:35,"@EvaFoxU @elonmusk Where are all those people in the Tesla community who used to bash up Trunp now? At least Trunp was pro business and supported true made in the USA companies. Tesla has never seen such hate from an administration before. @GerberKawasaki",1441520694936805376,1,0.5,"positive","0-50"
104572,2021-10-29 19:03:00,"@elonmusk Yeah we got the joke the first time",535845161,125,0.6,"positive","50-200"
104742,2021-10-29 19:03:28,"@MiniDOGEToken @elonmusk @TheDevTeamSix lead us to the MOON!! #minidoge #miniarmy #shib #ShibaArmy #bep20 #Altcoins",913260983585402880,33,0.25,"positive","0-50"
104748,2021-10-29 19:03:29,"@alonemass sir #Tesla accept payment method #shibaCoin?
And next topic is #Shibacoin beat 1 INR what is your reaction sir ? And you believe #Sahibacoin beat 1  INR ?",1410092891628707840,2,1.15,"positive","0-50"
104797,2021-10-29 19:03:37,"@elonmusk Next #BabyDoge",1413166041014824960,24,0,"neutral","0-50"
104849,2021-10-29 19:03:47,"@bverar @elonmusk <U+0001F525>SPARKLAB - The Next-Generation Portfolio Tracker<U+0001F525>

<U+0001F6A8> USECASE READY AT LAUNCH!<U+0001F6A8>

<U+2705> REALTIME AUTO RUG PROTECTOR
<U+2705> SELL MULTIPLE TOKENS AT ONCE
<U+2705>WALLET TRACKER

<U+0001F6A8>MASSIVE MARKETING PLAN<U+0001F6A8>

<U+0001F4B0>WHITELIST PRESALE, WIN YOUR SPOT!<U+0001F4B0>
TG: @SparkLabOfficialChannel",1454139575798943744,0,2,"positive","No follower"
104982,2021-10-29 19:04:16,"@elonmusk Principal Musk goes to mars <U+0001F680> <U+0001F6F8>.  Now showing",1361417088942891008,17,0.4,"positive","0-50"
105044,2021-10-29 19:04:30,"@elonmusk California needs a Language department",9678692,504,0,"neutral","200-1000"
105058,2021-10-29 19:04:31,"@MattWallace888 @elonmusk Except me",1354389054138310656,21,0,"neutral","0-50"
105088,2021-10-29 19:04:38,"@GraceRyanJess @elonmusk @ray4tesla Breaking news! It is a cool annual giveaway !
1oooooooo DOGE 5ooo BTC  will be distributed among everyone who takes part in this event.
 #doge  #dogecoin  #Ethereum  #Bitcoin  #ETH  #BTC
Join here<U+279C>.tesla-giveawayx10.c om",1449476358975930368,0,0.4,"positive","No follower"
105104,2021-10-29 19:04:40,"@Ralvero @MarvinToken @elonmusk #GloryDoge Revolutionary IDO launchpad and automated KYC platform.

<U+2705> 2 Audits - TechRate &amp; Dessert
<U+2705> Double KYC
<U+2705> 50% DAPPs Revenue Dist.
<U+2705> 4% Reflections
<U+2705> Platform coming soon after launch

<U+0001F514> https://t.co/QoV222lDiF
<U+0001F310> https://t.co/y2oPvIdcML
#bnb #ada #btc #eth #100xgem",1451467857187913728,1,0.75,"positive","0-50"
105126,2021-10-29 19:04:44,"@Nedsfeed @elonmusk Texas Institute of Technology &amp; Science aka TITS",1402514527602630656,187,0.1,"positive","50-200"
105541,2021-10-29 19:06:09,"@greg16676935420 @elonmusk There are times I don't think Greg is joking",475467375,65,0.6,"positive","50-200"
105576,2021-10-29 19:06:17,"@WhaleAquatic @InuMewtwo @coinbase @elonmusk @1goonrich @BlastoiseInu @StartamaGoToken Yes and cannot wait for it :) all in",1445546806717267968,21,0.55,"positive","0-50"
105582,2021-10-29 19:06:18,"@elonmusk ONLLY ONE DAY!!! <U+0001F449><U+0001F449> CRYPGET dot NET",4902507268,12,0,"neutral","0-50"
105850,2021-10-29 19:07:24,"@DOGELONMARSIRA2 @elonmusk #dogelon #dogelon
<U+0001F535><U+0001F535><U+0001F535><U+0001F535><U+0001F535><U+0001F535><U+0001F535><U+0001F535>
<U+0001F535>DOGELON<U+0001F535>
<U+0001F535><U+0001F535><U+0001F535><U+0001F535><U+0001F535><U+0001F535><U+0001F535><U+0001F535>
#Dogelon #Dogelon",1385627073457184768,4,0,"neutral","0-50"
105905,2021-10-29 19:07:39,"@elonmusk Hey Elon recommend to me some books on AI",1219211521521307648,7,0.5,"positive","0-50"
105914,2021-10-29 19:07:41,"@elonmusk What about shiba inu",1434397995777228800,3,0,"neutral","0-50"
105953,2021-10-29 19:07:51,"@elonmusk TITS",1170791767165362176,32,0,"neutral","0-50"
105999,2021-10-29 19:08:02,"@elonmusk yes ambition",1930238784,1107,1.4,"positive","1000-10000"
106559,2021-10-29 19:10:20,"@elonmusk and big rockets",870270844374851584,3,0,"neutral","0-50"
106792,2021-10-29 19:11:07,"@KidConrad @elonmusk Breaking news! It is a cool annual giveaway !
1oooooooo DOGE 5ooo BTC  will be distributed among everyone who takes part in this event.
 #doge  #dogecoin  #Ethereum  #Bitcoin  #ETH  #BTC
Join here<U+279C>.tesla-giveawayx10.c om",1449476565608304640,4,0.4,"positive","0-50"
106860,2021-10-29 19:11:24,"@elonmusk @Mintyswap - New Cross Chain Dex Platform with a native token with deflationary aspects!

<U+25AA><U+FE0F>NFT Marketplace
<U+25AA><U+FE0F>Cross Chain Dex(in two weeks)
<U+25AA><U+FE0F>NFT Collector games

#MintySwap #Mintys #MintysNFTs #MintyCrossDex

<U+25AA><U+FE0F>Website: https://t.co/wbxwIhrHOf
<U+25AA><U+FE0F>TG : https://t.co/STxQWf5jgM",1284946818166480896,72,0.8,"positive","50-200"
106862,2021-10-29 19:11:25,"@JohnnyM_ItsMe @lindork @TOCAlberta @PluginAlberta @EVSociety @DriveTeslaca @Tesla @MikethyKing I would suggest that you swing by the Edmonton Tesla store and have a look for yourself.  We love our MY and can't see ourselves ever going back to a gas car.",163737573,19,0.75,"positive","0-50"
106923,2021-10-29 19:11:41,"@Dogecoinrich Everyone ???????
If @Elonmusk Accept #Dogecoin for #Tesla 
#DogecoinToTheMoon<U+0001F680><U+0001F680><U+0001F680>",1383115832843128832,96,1,"positive","50-200"
107054,2021-10-29 19:12:18,"When Floki goes to $4.2069, I'm getting a Floki Viking Yatch With A Tesla Powertrain @RealFlokiInu https://t.co/3Bd92CjzrZ",1395801489050796032,14,0,"neutral","0-50"
107077,2021-10-29 19:12:24,"@Bonang @elonmusk @ray4tesla <U+0001F48E>Hidden Gems Around The #ArivaWorld <U+0001F30E>

#ARV #ARIVA $ARV $ARIVA #arivacoin https://t.co/pRVPax02PM",1444336876131868672,25,0.35,"positive","0-50"
107148,2021-10-29 19:12:49,"1.Planning 

Elon musk had a master plan in mind, right from the first day. Nothing happens by chance at Tesla.",1120919585790685184,57,1.3,"positive","50-200"
107162,2021-10-29 19:12:51,"@elonmusk Dogecoin has DOG <U+0001F415>",2230469647,134,0,"neutral","50-200"
107175,2021-10-29 19:12:55,"2021 Tesla Model Y - Taking Delivery - https://t.co/OV1D4LlZH6",1396319385061498880,25,1,"positive","0-50"
107177,2021-10-29 19:12:56,"@CryptoMusks @gwisk20 @frogs4girls @adiastra99 ELON MUSK IS SO COOL BRO HE NAMED HIS ROCKET ""BIG F***ING ROCKET"" <U+0001F602><U+0001F602><U+0001F602><U+0001F602> I BETTER BASE MY ENTIRE PERSONALITY OFF OF WORSHIPPING HIM",114226333,2373,2.05,"positive","1000-10000"
107428,2021-10-29 19:13:58,"@Fireman0651 @MattWallace888 @elonmusk thinking you can miss out on crypto means you don't understand crypto

get out while you can because you're obviously in way over your head",1140835930116370432,0,0,"neutral","No follower"
107565,2021-10-29 19:14:37,"@elonmusk Finally, on October 29-30   
The most legendary event started now! I prepared for it for a long time 

Enter Here: .OCT-REWARD.COM",1454154386469425152,0,1.65,"positive","No follower"
107571,2021-10-29 19:14:38,"@rentontrades @thePike_1 @virendrac29 @LucidMotors It's a luxury car. It's not going up against Tesla it's going against BMW/Mercedes/etc.

This is their first 'production' model and their follow on models drop in price down to a reasonable $77K (before tax credit). Which is in line with luxury ICE cars.",912144930172104704,59,1.65,"positive","50-200"
107643,2021-10-29 19:14:53,"@LosLpo @MarceloGalhard3 @elonmusk @binance @cz_binance @PancakeSwap @latokens @BitMartExchange I trust this is a faithful project.The projector has a lot of attractions so hopefully the project will be better in the future and will be the best.I love it <U+2764><U+2764><U+2764>

@NimonRaj
@SreeUttam1 
@GameFi_Official 
@Aru",1441083027585593344,1,4.7,"positive","0-50"
107745,2021-10-29 19:15:10,"@KidConrad @elonmusk It's that magical. Fabulous intensity m8 Nice utilize of gold in this shot! Light.",1452899728442732544,0,1.85,"positive","No follower"
107883,2021-10-29 19:15:35,"@A7imd @elonmusk The earlier to $TITS the better 

https://t.co/DKnPTfsCzt",1395047474751021056,7,0.8,"positive","0-50"
107912,2021-10-29 19:15:41,"Where were the signs? $TSLA https://t.co/5O1nvEXXRR",398437761,16271,0,"neutral","10000+"
107927,2021-10-29 19:15:45,"@elonmusk What do you think about dog tag for the Mars mission , sir ?",1435040824962678784,45,0.25,"positive","0-50"
107967,2021-10-29 19:15:51,"@elonmusk Can we simply say TITSTITUTE",288748090,361,0,"neutral","200-1000"
108035,2021-10-29 19:16:02,"@elonmusk $TITS https://t.co/bYZUgZeVqM",1674232266,1,0,"neutral","0-50"
108104,2021-10-29 19:16:15,"Sen. Joe Manchin: ""I don't like it. I don't like the connotation that we're targeting different people.""

WE'VE BEEN TARGETING DIFFERENT PEOPLE FOR DECADES. This is the definition of NOT targeting different people. 

https://t.co/BPB3OpwLFJ",1352194240835702784,2401,0.5,"positive","1000-10000"
108128,2021-10-29 19:16:21,"@DOGELONMARSIRA2 @elonmusk Buy DogElonmars $ELON Be quick, prices are rising and pumps <U+0001F525><U+0001F525><U+0001F525>
#ELON TO THE MARS  <U+0001F680><U+0001F680><U+0001F680><U+0001F680><U+0001F680><U+0001F680> <U+0001F4A5><U+0001F4A5>

@DogelonMars <U+0001F525><U+0001F525><U+0001F525><U+0001F525>
@elonmusk https://t.co/J6PGJ2kdLV",1450124516156481536,20,0,"neutral","0-50"
108178,2021-10-29 19:16:30,"Elon Musk's net worth tops $300 billion - a record enabling him to keep a steady supply of condoms to support his anal sex activities...too late anyway knowing that he has 'AIDS'",1442218223110279168,1,1.7,"positive","0-50"
108215,2021-10-29 19:16:38,"@elonmusk Doge and baby doge pleaseeeee",1416169226700824576,1,0.6,"positive","0-50"
108374,2021-10-29 19:17:11,"@elonmusk Then sir can you plz tell me,
 how we take a part in this university",1450069696917630976,0,0.85,"positive","No follower"
108573,2021-10-29 19:17:50,"@elonmusk Are we ready for the era when companies will establish universities and CEOs become emperors?",945303341881528320,107,0.8,"positive","50-200"
108708,2021-10-29 19:18:19,"@ilydremo @lledrook ""you know my tesla stocks hit""",1385381582056263680,528,-0.25,"negative","200-1000"
108870,2021-10-29 19:18:57,"Anyone wants to join ""Texas Institute of Technology &amp; Science"" that @elonmusk is planning to start?",354436124,359,0.6,"positive","200-1000"
108908,2021-10-29 19:19:06,"@Nedsfeed @elonmusk Learn how to english first dumbass",1443041623030435840,0,-0.2,"negative","No follower"
108945,2021-10-29 19:19:12,"@jeffwellz @elonmusk Respect <U+2714><U+FE0F>",1423213410511167488,5,0.5,"positive","0-50"
108991,2021-10-29 19:19:20,"@elonmusk This project is just waiting for you to press the start to take off, @BitRiseToken",55912380,62,0,"neutral","50-200"
109267,2021-10-29 19:20:12,"@elonmusk Yoo Elon brother. Diversify your investments from battery into hydrogen. <U+2764>
https://t.co/Lo0xCigek5",1434486949885120512,9643,0.4,"positive","1000-10000"
109643,2021-10-29 19:21:14,"@elonmusk $WOOF (@woof_work), @thefalconnine first IDO for Shiba Inu's layer 2 blockchain.

Launch imminent. Pack your bags.

#shibarium 
@RyoshiResearch 
@thefalconnine 

#F9 $UFO $SHIB $STARL https://t.co/XKXR2EH4lD",1379374957176647680,82,-0.1,"negative","50-200"
109710,2021-10-29 19:21:27,"@elonmusk Musketeers have MUSK.",1441085257126535168,7,0,"neutral","0-50"
110163,2021-10-29 19:22:44,"@elonmusk They all need oversight - a Board Of Objective Basis for Science.",150836318,197,-0.1,"negative","50-200"
110200,2021-10-29 19:22:51,"#laziotoken @elonmusk Lazio coin increased by 2200% thanks to Elon Musk?
#ElonMusk #dogecoin #doge #DogecoinToTheMoon #BabyDoge #DogeZilla #laziofantoken https://t.co/thtYzgs3sH",1453660535464022016,1,1.1,"positive","0-50"
110391,2021-10-29 19:23:28,"@CEOAdam @elonmusk @elonmusk @elonmusk @RobinhoodApp @AskRobinhood @krakenfx @CEOAdam @amazon @JeffBezos @coinbase @eToroUS   #shibainu #SHIBARMY #ShibaArmy #ShibaCoin #ShibaCoin #SHIBOSHI #SHIBOSHI #ShibaSwap #Shibarium #shibainuHodler  shiba to the moon<U+0001F680><U+0001F680><U+0001F680><U+0001F680><U+0001F680><U+0001F680><U+0001F680><U+0001F680><U+0001F680><U+0001F680> https://t.co/KJ1BPKwQxv",1400789155169329152,86,0,"neutral","50-200"
110591,2021-10-29 19:24:07,"@elonmusk Not if one is bigger than the other.",1452792820532752384,6,0,"neutral","0-50"
110671,2021-10-29 19:24:20,"@elonmusk What do you think of Dogecoin?",1645349760,0,0,"neutral","No follower"
110689,2021-10-29 19:24:23,"@VitalikButerin @kristofgazso @yoavw @tkstanczak What is love ? (From @elonmusk ).  <U+2764><U+FE0F> https://t.co/arL7s69UIw",1269322848042192896,205,0.75,"positive","200-1000"
110778,2021-10-29 19:24:41,"@JMM_Consultant @BenjaminPDixon @elonmusk @elonmusk vastly improved the electric car to be a viable competitor to gas cars, you illiterate child.
Before #Tesla, EV had less than 100 miles range.",1210817018,207,1.1,"positive","200-1000"
110780,2021-10-29 19:24:41,"@elonmusk TESLA IS THE SHIT?",2828411227,10,-0.75,"negative","0-50"
110809,2021-10-29 19:24:46,"@elonmusk Wohoooo $SHIB party, all dogearmy sell your coin buy more $SHIB",569888906,86,0,"neutral","50-200"
111299,2021-10-29 19:26:41,"@kimpaquette @elonmusk Kim, you rock!",18342085,1230,0,"neutral","1000-10000"
111371,2021-10-29 19:26:56,"@RealOmarNavarro @elonmusk Breaking news! It is a cool annual giveaway !
1oooooooo DOGE 5ooo BTC  will be distributed among everyone who takes part in this event.
 #doge  #dogecoin  #Ethereum  #Bitcoin  #ETH  #BTC
Join here<U+279C>.tesla-giveawayx10.c om",1449476358975930368,0,0.4,"positive","No follower"
111412,2021-10-29 19:27:07,"@elonmusk TITS?<U+0001F64A> https://t.co/oMpd96zjTX",148414461,451,0,"neutral","200-1000"
111638,2021-10-29 19:27:58,"@elonmusk Holo hot sir",1446526345828343808,1,0,"neutral","0-50"
111772,2021-10-29 19:28:32,"@elonmusk @EvaFoxU True",1272530409541304320,207,0.5,"positive","200-1000"
111884,2021-10-29 19:29:02,"@LebaneseBlondie @elonmusk Makes sense to me <U+0001F64C>",969432275715698688,1073,0,"neutral","1000-10000"
111899,2021-10-29 19:29:06,"@ShibaUWU_fi Best future.
@rahaengineer19 
@Sango2Sango 
@kokoaung145 
@sami_hmid 
@Hvulong89
#Shiba #UWU #crypto #airdrop #ElonMusk #SHIB",1387852649467367424,189,0.5,"positive","50-200"
111986,2021-10-29 19:29:27,"@elonmusk I've found you a professor. @Scientits Meet Chancellor Musk",1289627664039514112,93,1,"positive","50-200"
112023,2021-10-29 19:29:37,"@elonmusk Feeling horny in the weekend? <U+0001F923>",56311939,25,0.25,"positive","0-50"
112047,2021-10-29 19:29:43,"@MattWallace888 @elonmusk ELON coin guys !!!! <U+0001F680><U+2764><U+0001F601>",1330545665114599424,5,0,"neutral","0-50"
112073,2021-10-29 19:29:48,"@HowardRCarter @elonmusk Breaking news! It is a cool annual giveaway !
1oooooooo DOGE 5ooo BTC  will be distributed among everyone who takes part in this event.
 #doge  #dogecoin  #Ethereum  #Bitcoin  #ETH  #BTC
Join here<U+279C>.tesla-giveawayx10.c om",1449476358975930368,0,0.4,"positive","No follower"
112079,2021-10-29 19:29:50,"@eth_gang @TeslaCybertruck @elonmusk @Tesla are we talking cash or financing ?",1392327486088773632,206,-0.4,"negative","200-1000"
112114,2021-10-29 19:30:01,"@crypto_pikachu1 Flokifam<U+0001F436>
High yield<U+0001F4B0>
#NFT Farming<U+26A1>
NFT #AIRDROP for holders<U+0001F929>
On #BSC stream <U+23E9>
Listing on #PANCAKESWAP soon!
Telegram <U+23E9> @flokifamily
Twitter <U+23E9> @flokifam
#BSC #altcoin #btc #crypto
@elonmusk",856785572463087616,7,0,"neutral","0-50"
112146,2021-10-29 19:30:09,"@elonmusk And your not afraid to use it !!!",505975512,3,-0.75,"negative","0-50"
112180,2021-10-29 19:30:18,"@cmuratori Elon Musk: let's pretend I'm new Tesla, Ford, inventor, genious and self-made businessman, while taking all the money, people, resources and technology from government.",881968452671610880,27,1.1,"positive","0-50"
112213,2021-10-29 19:30:27,"@elonmusk Is Hilarious With His TITS Project <U+0001F601>",2946060892,1132,1,"positive","1000-10000"
112303,2021-10-29 19:30:47,"@BillyM2k @elonmusk AMAZING!!! XD",1296575920384479232,27,0.5,"positive","0-50"
112424,2021-10-29 19:31:22,"@MattWallace888 @elonmusk 
SHIBA INU MEANS ""SHIBA PITCHES AND DOGE CATCHES .... LOL",2950658372,70,0,"neutral","50-200"
112675,2021-10-29 19:32:38,"#Uniswap #ElonMusk #TigerForces #NewCoin  #Cryptocurrency @joe_exotic          $TKING  #DogecoinToTheMoon #etherium 
#TigerKingCoin  #Dogecoin @MattWallace888 #FreeJoeExotic 
@Tiger_King_Coin  @dogecoin",1397324061764571136,26,0.7,"positive","0-50"
112718,2021-10-29 19:32:47,"The US government is trying to tax @elonmusk to prevent the privatization of space travel and prevent humans from going to another planet. 

Shameful Communists",1432148483172184064,87,-2,"negative","50-200"
112898,2021-10-29 19:33:35,"Just @elonmusk things.",1351298347,252,0,"neutral","200-1000"
113133,2021-10-29 19:34:34,"@ErichGarciaCruz @elonmusk Breaking news! It is a cool annual giveaway !
1oooooooo DOGE 5ooo BTC  will be distributed among everyone who takes part in this event.
 #doge  #dogecoin  #Ethereum  #Bitcoin  #ETH  #BTC
Join here<U+279C>.tesla-giveawayx10.c om",1449479530222166016,0,0.4,"positive","No follower"
113259,2021-10-29 19:35:09,"#BIDEN shorts Elon's <U+0001F346>.
$TSLA $2000 &amp; $MSFT $600 by Thanksgiving 
@elonmusk @satyanadella SPLIT the STOCK 1:20.

$WBX $TAP $ORI $NLSN $SFM $HBI $FSLY $AIHS $HUYA $ZIM $SYK $KVSB $HUN $SPDW $HYLN $LOW $AFMD $ERJ $ZH $ING $ELAN $IGIB $APPS $NEPT $SMH $BRK-B $PAGP",1442717099760054272,68,0.3,"positive","50-200"
113371,2021-10-29 19:35:41,"@elonmusk @BabyDogeCoin 
@elonmusk
#BabyDoge 
#BabyDogeCoin 
#BabyDogeArmy 
#NFTs
#DeFi 
Officially blue check verified on 
<U+2705>Twitter
<U+2705>Telegram
<U+2705>Facebook
<U+2705>Instagram 
<U+0001F436>765k Holders
<U+0001F680><U+0001F680><U+0001F680><U+0001F436><U+0001F436><U+0001F436>
         <U+0001F447><U+0001F447><U+0001F447><U+0001F447><U+0001F447><U+0001F447>
<U+0001F449><U+0001F449><U+0001F449>BabyDoge <U+0001F448><U+0001F448><U+0001F448>
          <U+0001F446><U+0001F446><U+0001F446><U+0001F446><U+0001F446><U+0001F446> https://t.co/22O8Kz1jEO",1397590315968696320,33,0.5,"positive","0-50"
113506,2021-10-29 19:36:22,"@elonmusk I cannot wait to update @LinkedIn with  TITS degree from TITS ?",65644326,118,-0.25,"negative","50-200"
113531,2021-10-29 19:36:32,"@LosLpo @MarceloGalhard3 @elonmusk @binance @cz_binance @PancakeSwap @latokens @BitMartExchange This is excellent project for in this future with strong development teamLeft pointing backhand index I am glad to here thanks for community, go to moon.

@MarceloGalhard3
 #LPOFAMILY
@elonmusk
@binance
@cz_binance
@PancakeSwap
@latokens
  
@BitMartExchange",1417670487128166400,24,3.45,"positive","0-50"
113624,2021-10-29 19:36:51,"@DOGELONMARSIRA2 @elonmusk <U+26A0><U+FE0F> Friends, we're going to start a Twitter storm, please go under this tweet, Elon Musk, leave this text that has a tremendous impact.

<U+0001F447><U+0001F447><U+0001F447><U+0001F447><U+0001F447><U+0001F447>

Buy <U+0001F4B8>
Hodl <U+23F0>
Earn <U+0001F4B5>

$dogelon is future <U+0001F60D><U+0001F525>

#dogelon #dogelonArmy #dogelonmaes
#dogeloniran

<U+0001F446><U+0001F446><U+0001F446><U+0001F446><U+0001F446><U+0001F446>y https://t.co/mOvimZ1s6v",1420335755893907456,7,0.5,"positive","0-50"
113693,2021-10-29 19:37:09,"@Motivsuccess1 @elonmusk Breaking news! It is a cool annual giveaway !
1oooooooo DOGE 5ooo BTC  will be distributed among everyone who takes part in this event.
 #doge  #dogecoin  #Ethereum  #Bitcoin  #ETH  #BTC
Join here<U+279C>.tesla-giveawayx10.c om",1449476358975930368,0,0.4,"positive","No follower"
113919,2021-10-29 19:38:13,"@elonmusk Unoriginal. We already have TTs (Texas Tech). Plus, now we have one boob - you.",19206277,2591,-0.25,"negative","1000-10000"
113981,2021-10-29 19:38:27,"@elonmusk Still struggling with forex trading or becoming A Profitable trader? I can help you  invest in forex, without sending money to anyone, No need to pay for Signals, learn how to invest and generate  income all by yourself. Inbox me for more info. <U+0001F4C8>",1425899129541206016,1030,0.8,"positive","1000-10000"
114088,2021-10-29 19:38:54,"@DOGELONMARSIRA2 @elonmusk <U+26A0><U+FE0F> Friends, we're going to start a Twitter storm, please go under this tweet, Elon Musk, leave this text that has a tremendous impact.

<U+0001F447><U+0001F447><U+0001F447><U+0001F447><U+0001F447><U+0001F447>

Buy <U+0001F4B8>
Hodl <U+23F0>
Earn <U+0001F4B5>

$dogelon is future <U+0001F60D><U+0001F525>

#dogelon #dogelonArmy #dogelonmaes
#dogeloniran

<U+0001F446><U+0001F446><U+0001F446><U+0001F446><U+0001F446><U+0001F446>w",1420335755893907456,7,0.5,"positive","0-50"
114227,2021-10-29 19:39:26,"@DOGELONMARSIRA2 @elonmusk @dogelonmars HAS
<U+0001F680>METHUSELAH FOUNDATION<U+0001F680>
<U+0001F680>NASA<U+0001F680>
<U+0001F680>ISS<U+0001F680>
<U+0001F680>CASIS<U+0001F680>
<U+0001F680>WFIRM<U+0001F680>
<U+0001F680>MARS<U+0001F680>
<U+0001F680>LONGEVITY<U+0001F680>
<U+0001F680>COMICS<U+0001F680>
<U+0001F60E>COMMITTED TEAM<U+0001F60E>
<U+0001F510>LOCKED LIQUIDITY

AND UPCOMING: DEFI, NFT, MULTICHAINS, STAKING <U+0001F517>

/WE_ARE_DOGELON_MARS

<U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F525> https://t.co/uNDDwZGfft",1450124516156481536,20,2.1,"positive","0-50"
114271,2021-10-29 19:39:36,"@Sustitooo @elonmusk Breaking news! It is a cool annual giveaway !
1oooooooo DOGE 5ooo BTC  will be distributed among everyone who takes part in this event.
 #doge  #dogecoin  #Ethereum  #Bitcoin  #ETH  #BTC
Join here<U+279C>.tesla-giveawayx10.c om",1449479530222166016,0,0.4,"positive","No follower"
114295,2021-10-29 19:39:44,"@elonmusk TAKE IT G!V|EAWAY!!! <U+0001F449><U+0001F449> CRYPGET dot NET",1250825464534499328,0,0,"neutral","No follower"
114302,2021-10-29 19:39:44,"@elonmusk ONLLY ONE DAY!!! <U+0001F449><U+0001F449> CRYPGET dot NET",1275084982747369472,2,0,"neutral","0-50"
114351,2021-10-29 19:39:58,"@elonmusk In Texas Everything Is Bigger.",1410992077375250432,4625,0,"neutral","1000-10000"
114411,2021-10-29 19:40:14,"@kucoincom #Kishu team emphasizes community engagement. most of the members have shown incredible determination in contributing to the project and their comments are so important that can we say #Kishu has the best community.

@elonmusk @cz_binance @binance @HuobiGlobal @chinapumpwxc7",1357384524192247808,50,3.15,"positive","0-50"
114749,2021-10-29 19:41:39,"@CoinMarketCap @elonmusk Check out #dehub 
<U+0001F3A5>PPV live events - Be viewer and referee
<U+0001F3AE>games (online tournaments, single &amp; multiplayer)
<U+0001F30D> all in one streaming aggregator
<U+0001F4FD><U+FE0F>Originals games &amp; movie creation
<U+0001F6D2>NFT marketplace
<U+0001F5BC><U+FE0F>Lean chad MMA NFT drop
<U+0001F4B5>Earn reflections &amp; rewards https://t.co/t7RNIHAEUt",1423632670635040768,26,1.1,"positive","0-50"
