"X","created_at","text","user_id","user_follower_count","sentiment_score","sentiment","group"
3138,2021-10-28 15:34:27,"@itsALLrisky @elonmusk @Teslarati @ResidentSponge I doubt it <U+0001F923> party rocking is the way to go <U+0001F680><U+0001F680><U+0001F680><U+0001F680> https://t.co/TQzicjlZcM",1383942111943299072,3747,-0.75,"negative","1000-10000"
3148,2021-10-28 15:34:31,"@elonmusk Sir please help me out sir..my faimily is gonna very weak in fianancial condition...sir we have got so stress...i dont know,  how much gonna be worst...   Please help sir....i promised you sir i will return your money..when i got job.. sir so much of debt in my father head...<U+0001F64F><U+0001F64F>",1165976822019850240,2,-0.15,"negative","0-50"
3217,2021-10-28 15:34:57,"@elonmusk @TeslaHype @Teslarati @ResidentSponge Any updates on neuralink?<U+0001F9E0>",1033845311058464768,30,0,"neutral","0-50"
3249,2021-10-28 15:35:06,"@Stoisavljevic @Shibtoken With all these $SHIB $DOGE profitable dramas, #PiNetwork will likely list around $3+. With +28,000,000 users (#PIARMY), Pi Network will be the world crypto in the future. 

Free crypto Pi Network mining @ https://t.co/rNQY0MGDLi 

Invite code: vangmn 

@elonmusk",26080396,15676,0.75,"positive","10000+"
3458,2021-10-28 15:36:32,"Elon Musk <U+FFFD> Official #ETH  and #BTC !
#Binance  #dogecoin #shiba #shibainu 

https://t.co/jgkPvpACVq",1029474047434747904,0,0,"neutral","No follower"
3577,2021-10-28 15:37:19,"@elonmusk @BillyM2k To the moon with Elon Musk and BUFF DOGE COIN https://t.co/v3OZmxDHYo pancakswap https://t.co/14V5zcvWue",1441541800196411392,2,0,"neutral","0-50"
3633,2021-10-28 15:37:44,"This is under appreciated.",149228317,87,0.75,"positive","50-200"
3728,2021-10-28 15:38:25,"@Investments_CEO @elonmusk Hold",1390391614661701632,0,0,"neutral","No follower"
3983,2021-10-28 15:40:16,"@BisonSaffy @elonmusk @wapodavenport Good luck. I been trying to help wakeup Elon for awhile. Always ignored even when I came forward with CNT technology that is 50x (stronger/better per material) than DERPA... 

GG. I could have gave the world nano filtration masks.but everyone wants it hushed to oppress the public",981692717515378688,235,2.4,"positive","200-1000"
4109,2021-10-28 15:41:18,"@kitcateleven @Akibjawed1 @TeslaAIBot @elonmusk @WholeMarsBlog @wapodavenport How to create Internet between Mars and Earth?",1361395951206871040,40,0.6,"positive","0-50"
4130,2021-10-28 15:41:31,"@RAFA64931172 @ShytoshiKusama @Shibtoken You r right Sir!

BuffDogeCoin @buffdogecoin 
<U+0001F525>Buy now is never too late
<U+0001F525>1000x Gems
<U+0001F525>The New Gold
<U+0001F525>Double Burn
<U+0001F525>SOLID Community
<U+0001F525>Road to 50k Holder
<U+0001F525>Autostaking system while Holding
@Hotbit_news 
@gate_io
#elonmusk 
#binance
#BuffdogeCoin
#Buffdogecoinarmy
#Bitcoin 
#SHIB https://t.co/KXrV6fhYK7",1434965943143206912,14,3.15,"positive","0-50"
4284,2021-10-28 15:42:49,"@QueeeensleyE @so_khr @Khaleesi_2315 @Igot1Ac3 @Niggaolas @fckmeek African and black ain't the same thing. Elon musk is African his parents are African!! Is he black?",933349704271790080,277,-0.25,"negative","200-1000"
4380,2021-10-28 15:43:35,"Tesla's competition is coming, look at their FSD testing, it's real

@WholeMarsBlog @28delayslater @WR4NYGov @SawyerMerritt https://t.co/fpqRCmTrSc",2168002911,125,0,"neutral","50-200"
4978,2021-10-28 15:47:53,"@SpaceX @elonmusk Doge go up",727111138215862272,90,0,"neutral","50-200"
5028,2021-10-28 15:48:06,"@SpaceX @elonmusk Wow much wow",1379553194049560576,1588,0.5,"positive","1000-10000"
5089,2021-10-28 15:48:21,"@garyblack00 Great work @garyblack00 ! You deserve the credit of best Tesla Twitter Analyst!",1142304465053212672,21,2.15,"positive","0-50"
5180,2021-10-28 15:48:46,"@SpaceX @elonmusk Is there a way to get a space x share.",843852182357250048,2,0.5,"positive","0-50"
5216,2021-10-28 15:48:54,"@elonmusk @Teslarati @ResidentSponge Also, SpaceX has saved tax payers BILLIONS of dollars by providing cheaper access to Space for NASA and the US government. It has also put the Russians and EU space programs on life support.",1291945442,72922,1.35,"positive","10000+"
5287,2021-10-28 15:49:11,"@elonmusk @TeslaHype @Teslarati @ResidentSponge We didn't ""profit"" from low interest rate loans.",2303840340,42,0.5,"positive","0-50"
5322,2021-10-28 15:49:20,"@PPathole @elonmusk Amazing Innovation for e-commerce,
https://t.co/LUlZ3Qr25n https://t.co/6JWzbuD7tG",76547264,13,1.25,"positive","0-50"
5454,2021-10-28 15:50:00,"@_BRCooper @elonmusk @TeslaHype @Teslarati @ResidentSponge When is Ford going to pay it back <U+0001F92C>",1002579170,559,-0.1,"negative","200-1000"
5609,2021-10-28 15:50:56,"@SpaceX @elonmusk What about doge?",2261454468,301,0,"neutral","200-1000"
5704,2021-10-28 15:51:35,"Technology virtuoso Elon Musk reveals his latest breakthrough: open-source cars",904668896933838848,116,0.6,"positive","50-200"
